Site,Years Since Tracer Application,Foliage,Wood,Bark,Fine Roots,Coarse Roots,Ground Plants,Organic Soil,Mineral Soil,Total Plant*,Total Soil,Open CLM Plant,Closed CLM Plant,Open CLM Soil,Closed CLM Soil
Arnot,1,1.9,0.6,1,2.5,4.9,NA,13.7,45.3,10.9,59,50,65,26,33
Arnot,6,1.6,1.5,1.2,1.8,2.1,NA,5.9,56.5,8.2,62.4,16,24,63,73
Harvard_BDT,1,1.2,0.6,0.5,4.6,NA,NA,81.9,11.1,6.8,92.9,47,63,25,32
Harvard_BDT,8,3.8,2.1,1.7,4.2,NA,NA,73.9,15.7,11.8,89.6,14,23,56,71
Harvard_BDT,17,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,14,20,48,72
Harvard_BDT_Fert,1,5.9,2.9,1.6,13.7,NA,NA,44.6,27.4,24,72,31,29,26,31
Harvard_BDT_Fert,8,3.1,3.1,2.2,3.1,NA,NA,55.4,16,11.5,71.4,21,20,34,35
Harvard_BDT_Fert,17,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,14,15,33,34
Harvard_NET,1,1,0.1,0.2,2.3,NA,NA,60,8.8,3.6,68.7,38,49,51,49
Harvard_NET,8,2.9,1.3,0.6,3.4,NA,NA,56.2,31.9,8.1,88.1,24,24,58,72
Harvard_NET,17,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,18,16,60,78
Harvard_NET_Fert,1,9.6,0.4,0.9,8.7,NA,NA,33.9,15.2,19.7,49.1,29,36,26,40
Harvard_NET_Fert,8,6.1,1.1,0.9,5.1,NA,NA,34.9,24.3,13.2,59.2,20,26,31,43
Harvard_NET_Fert,17,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,AUR,16,20,32,45
Alptal,1,2.3,3,with_wood,6.6,0.4,19,25.6,19.6,12.3,45.2,39,44,52,50
Alptal,3,0.9,1,with_wood,3.3,1.8,20.5,22.5,7.3,6.9,29.8,30,34,58,59
Alptal,9,3.7,2.6,2.3,3.1,1.1,3.8,42.6,13.3,12.8,55.9,29,19,9,70
Alptal_Fert,2,4.6,3,0.8,with_organic_soil,NA,5,55,21,8.4,76,36,45,54,51
Alptal_Fert,7,6.9,3.9,0.8,2.6,1.4,1.5,29.3,15.4,15.6,44.7,30,37,55,55
Alptal_Fert,14,5,4.4,2,2.7,1.2,0.9,39.6,18.9,15.3,58.5,24,31,53,59
Klosterhede,1,9.9,3.3,0.4,6.9,7,20.1,41.5,10.4,27.4,51.8,32,47,52,50
Klosterhede,17,12,4.6,1.2,3.4,2.3,0.2,61.6,3.8,23.5,65.4,11,19,45,70
Klosterhede_Fert,1,16.8,6.3,0.7,11.2,10.7,3.2,23.9,22.5,45.8,46.4,38,63,52,34
Klosterhede_Fert,17,12.7,3.8,1.1,2.7,4.4,0,36.7,11.5,24.7,48.2,24,25,47,46
Bear_Brook_Fert,3,2.4,9.1,NA,NA,NA,NA,NA,NA,11.4,23.3,40,35,27,37
Gårdsjön_Fert,2,NA,NA,NA,NA,NA,NA,NA,NA,28,82,39,47,43,37
Aber_Low_Fert,3,NA,NA,NA,NA,NA,NA,17,15,32,32,49,56,29,33
Aber_High_Fert,3,NA,NA,NA,NA,NA,NA,11,15,20,26,32,35,21,25